soc90,isco88
100,1110
101,1210
102,1110
103,2470
110,1222
111,1223
112,3112
113,1222
120,1231
121,1233
122,1235
123,1234
124,1232
125,1239
126,1236
127,1231
130,1231
131,1227
132,2470
139,1231
140,1226
141,1226
142,1226
150,0100
151,0100
152,3450
153,1229
154,1229
155,1229
160,6130
169,1311
170,3413
171,1314
172,1318
173,1315
174,1315
175,1315
176,1319
177,3414
178,1314
179,1314
190,1142
191,1229
199,1228
200,2113
201,2211
202,2111
209,2110
210,2142
211,2145
212,2143
213,2144
214,2131
215,2146
216,2149
217,2149
218,2149
219,2149
220,2221
221,2224
222,3224
223,2222
224,2223
230,2310
231,2310
232,2352
233,2320
234,2331
235,2340
239,2359
240,2422
241,2421
242,2421
250,2411
251,2411
252,2122
253,2419
260,2141
261,2141
262,2148
270,2432
271,2431
290,2445
291,2442
292,2460
293,2446
300,3111
301,3115
302,3114
303,3119
304,3112
309,3119
310,3118
311,3151
312,2149
313,2148
320,2131
330,3144
331,3143
332,3142
340,2230
341,2230
342,3133
343,3226
344,3226
345,3224
346,3225
346,3228
347,3229
348,3222
349,3227
350,3432
360,3417
361,3412
362,3442
363,1232
364,2149
370,3460
371,3460
380,2451
381,3471
382,3471
383,3471
384,2455
385,2453
386,3131
387,3475
390,2432
391,2359
392,2412
393,3340
394,3152
395,3152
396,3152
399,3430
400,4190
401,4190
410,4121
411,4212
412,4215
420,4143
421,4141
430,4190
440,4131
441,4131
450,4115
451,4115
452,4111
459,4115
460,4222
461,4223
462,4223
463,3132
490,4113
491,4190
500,7122
501,7131
502,7133
503,7135
504,7121
505,7129
506,7132
507,7141
509,7129
510,7223
511,7223
512,7223
513,7223
514,7223
515,7222
516,7230
517,7311
518,7313
519,7223
520,7241
521,7241
522,7241
523,7244
524,7245
525,7242
526,7242
529,7242
530,7221
531,7211
532,7136
533,7213
534,7214
535,7214
536,7214
537,7212
540,7231
541,7213
542,7213
543,7241
544,7231
550,7432
551,7432
552,8264
553,7436
554,7437
555,7442
556,7433
557,7435
559,7436
560,7341
561,7341
562,7345
563,7346
569,7340
570,7124
571,7422
572,7422
573,7422
579,7422
580,7412
581,7411
582,7411
590,7320
591,7324
592,7311
593,7312
594,6112
595,6112
596,7141
597,7111
598,7233
599,7331
600,0100
601,0100
610,5162
611,5161
612,5163
613,3440
614,5169
615,5169
619,5169
620,5122
621,5123
622,5123
630,5111
631,5112
640,3231
641,5132
642,5132
643,5132
644,5133
650,3320
651,5131
652,5131
659,5131
660,5141
661,5141
670,5121
671,5121
672,9141
673,9133
690,5143
691,4213
699,9152
700,3416
701,3416
702,3422
703,3421
710,3415
719,3412
720,5220
721,4211
722,5220
730,9113
731,9113
732,5220
733,5220
790,3471
791,3471
792,9113
800,8274
801,8278
802,8279
809,8270
810,8265
811,8261
812,8261
813,8261
814,8269
820,8150
821,8142
822,8253
823,8131
824,8231
825,8232
826,8261
829,8159
830,8121
831,8124
832,8122
833,8123
834,8223
839,8122
840,8211
841,8211
842,7224
843,8223
844,8223
850,8280
851,8280
859,8280
860,8281
861,8269
862,9320
863,7415
864,8229
869,9320
870,5112
871,8324
872,8324
873,8323
874,8322
875,5112
880,8340
881,5112
882,8311
883,8312
884,8312
885,8332
886,8333
887,8334
889,8333
890,8112
891,8251
892,8163
893,8160
894,7233
895,7136
896,7129
897,8240
898,7111
899,8211
900,9211
901,8331
902,9211
903,6153
904,6141
910,9311
911,9320
912,9320
913,9313
919,9320
920,9320
921,9313
922,9312
923,9312
924,7122
929,9312
930,9330
931,9330
932,9330
933,9161
934,9330
940,4142
941,9151
950,9132
951,9152
952,9132
953,5123
954,5220
955,9152
956,9142
957,9162
958,9131
958,9132
959,9152
990,9320
999,9999
